,model,submodel,mean_acc,std_acc,min_acc,max_acc,q1_acc,median_acc,q3_acc,mean_auc,std_auc,min_auc,max_auc,q1_auc,median_auc,q3_auc,mean_pr,std_pr,min_pr,max_pr,q1_pr,median_pr,q3_pr,mean_f1,std_f1,min_f1,max_f1,q1_f1,median_f1,q3_f1,n_folds,mean_tn,mean_fp,mean_fn,mean_tp,robust_acc,robust_f1
0,vit,b_16,0.7823429584503174,0.0151570311953576,0.7640067934989929,0.804753839969635,0.774193525314331,0.7826825380325317,0.7860780954360962,0.8639720973135017,0.014944809843884738,0.838498789346247,0.8748472270264037,0.8628156347284677,0.8712210307851955,0.8724778046811945,0.8591029753178792,0.021735233644097463,0.8242494385674135,0.883316111821922,0.8594257612775626,0.8600602500138065,0.868463314908691,0.7822554418014311,0.015114528607068292,0.764004065112001,0.8046434443946746,0.7741701089891481,0.7824561353289725,0.7860034551823591,5,227.8,61.6,66.6,233.0,0.7671859272549598,0.7671409131943628
1,vit,b_32,0.7850594162940979,0.021428546380801917,0.7674023509025574,0.8217317461967468,0.7724957466125488,0.7809846997261047,0.7826825380325317,0.8515104346823476,0.02411764754529106,0.8274645451400899,0.8833390983512049,0.8291709904300704,0.850714862216073,0.8668626772742996,0.834026283328664,0.04252630777035853,0.7782350689171464,0.8796705568174787,0.8021937678044778,0.8465471959295532,0.8634848271746643,0.7849867653097921,0.021469609944764125,0.7672306066628178,0.8217235215861408,0.7724636126780509,0.7809746133852216,0.782541472236729,5,227.4,59.6,67.0,235.0,0.763630869913296,0.763517155365028
2,vgg,11,0.8213921904563903,0.013172946739497897,0.8081493973731995,0.8387096524238586,0.8081493973731995,0.825127363204956,0.8268251419067383,0.90174910642223,0.015641582808602384,0.8812809869710596,0.9253141934739998,0.8998385794995964,0.9010434682347516,0.9012683039317422,0.8829087161672146,0.027349374155942165,0.8494498873342399,0.9249542626546252,0.8745214651626133,0.8786697807633227,0.8869481849212721,0.8210591421324628,0.012866064795135213,0.808069734317566,0.8378045372249956,0.8080940838558843,0.8245426757102374,0.8267846795536302,5,242.2,53.0,52.2,241.6,0.8082192437168925,0.8081930773373276
3,vgg,13,0.8064516067504883,0.019799491596875735,0.7775891423225403,0.823429524898529,0.7945670485496521,0.8149405717849731,0.8217317461967468,0.8851447019485761,0.009665565591370755,0.8753314885276144,0.8972789115646258,0.8755909143318344,0.8862389023405972,0.8912832929782083,0.8575500846511377,0.018888322093732306,0.8378285248406223,0.8803711888270744,0.8380685080103781,0.8643967032001586,0.8670854983774542,0.8050301603713461,0.02157440077228603,0.7725111028651358,0.8232047975638144,0.7940327271026165,0.8137033236274961,0.8216988506976678,5,225.6,45.2,68.8,249.4,0.7866521151536126,0.7834557595990601
4,vgg,16,0.8162988066673279,0.011351123991885438,0.8081493973731995,0.8353140950202942,0.8098471760749817,0.8098471760749817,0.8183361887931824,0.8945682001614206,0.010665081596471714,0.8787501441254468,0.9044448287789691,0.8886140897036781,0.8998039893923672,0.9012279488066413,0.869655489850581,0.020142097070959146,0.8407354637522746,0.8918253703469499,0.8614271501205428,0.8695598231307977,0.8847296419023405,0.8159739036349567,0.011270788442147472,0.807347517405739,0.8346965591868235,0.8096491177841876,0.809842260446223,0.8183340633518106,5,242.4,56.2,52.0,238.4,0.8049476826754425,0.8047031151928092
5,vgg,19,0.8088285326957703,0.022446835000555325,0.7894737124443054,0.8370118737220764,0.7894737124443054,0.7996604442596436,0.8285229206085205,0.8921111495445635,0.012013831524758142,0.8804623544332988,0.9072062723394444,0.882364810330912,0.8882278335062838,0.9022944771128788,0.8697600814608959,0.013619532873353558,0.8526640501312185,0.8829217926804022,0.8593837045028921,0.8711537223818138,0.8826771376081531,0.8085230413441604,0.022550236430851116,0.789093718271713,0.8370076510919199,0.7892057211404193,0.7991735964636226,0.8281345197531272,5,238.0,56.2,56.4,238.4,0.7863816976952149,0.7859728049133093
6,efficientnet,B0,0.7188455104827881,0.008282732349304026,0.7079796195030212,0.7266553640365601,0.7130730152130127,0.7198641896247864,0.7266553640365601,0.796475268073331,0.01719607791287974,0.7721434336446443,0.8184941773319497,0.788913870632999,0.8013028940389715,0.8015219647180907,0.7766362227378588,0.024397683953227656,0.7419836413840303,0.8064350079554992,0.7645479717110897,0.7839722044096593,0.7862422882290152,0.7173111533854339,0.008361570542280676,0.70716845377039,0.7265008241659671,0.7116065972157282,0.7163020107185344,0.7249778810565503,5,194.6,65.8,99.8,228.8,0.7105627781334841,0.7089495828431532
7,efficientnet,B1,0.735144317150116,0.01979950948558127,0.706281840801239,0.7538200616836548,0.7300509214401245,0.7317487001419067,0.7538200616836548,0.8106802721088435,0.019134211387405484,0.784180790960452,0.8321226795803067,0.8019831661478151,0.8094258042199931,0.8256889196356508,0.7986857302197564,0.022399489241662827,0.7719096321748731,0.8327661213034746,0.7878085828231158,0.7990899471031904,0.8018543676941282,0.7347547061679272,0.020384640080397785,0.7046335297944624,0.7537944801787932,0.7298983293925289,0.7317293893760104,0.7537178020978414,5,209.4,71.0,85.0,223.6,0.7153448076645347,0.7143700660875294
8,efficientnet,B2,0.7157894611358643,0.022478927337891638,0.685908317565918,0.7385398745536804,0.7028862237930298,0.7147707939147949,0.7368420958518982,0.7874956762365963,0.026083335822980183,0.75993312579269,0.8181943964026288,0.7681079211345557,0.7796321918597948,0.8116107459933126,0.7661775479740927,0.034286513246101234,0.7304448104521635,0.8022119625785632,0.7368705739455371,0.7600962215706495,0.8012641713235501,0.7140286984685068,0.02281133489320397,0.6856763684249856,0.7376133894212481,0.6986296113577892,0.7122618416236177,0.7359622815148936,5,189.8,62.8,104.6,231.8,0.6933105337979727,0.6912173635753028
9,efficientnet,B3,0.7096774220466614,0.030347309847546387,0.6689304113388062,0.7538200616836548,0.7028862237930298,0.7079796195030212,0.7147707939147949,0.7888124063184596,0.02070529407488195,0.7606941081517352,0.8177677850801337,0.783558169030324,0.7861005419116799,0.7959414274184249,0.7716297903144478,0.009611724684920324,0.761646546837016,0.7851870244117956,0.7631379864116004,0.7731206882504892,0.7750567056613373,0.7075315368982024,0.03126691489699245,0.665688658042114,0.7526793860559229,0.6991081934873669,0.7057736939005467,0.7144077530050613,5,185.4,62.0,109.0,232.6,0.679330112199115,0.67626462200121
