,model,submodel,mean_acc,std_acc,min_acc,max_acc,mean_f1,std_f1,n_folds,robust_acc,robust_f1
0,vgg,11,0.9380952380952381,0.022129910307299532,0.8928571428571428,0.9761904761904762,0.7724489704841677,0.05810836652250915,10,0.9159653277879386,0.7143406039616585
1,vgg,13,0.9238095238095237,0.025991306180655222,0.8869047619047619,0.9702380952380952,0.754070285915881,0.07856991787621931,10,0.8978182176288685,0.6755003680396616
2,vgg,16,0.9333333333333333,0.01980154753948359,0.9047619047619048,0.9642857142857144,0.7684353651772434,0.056083310632834706,10,0.9135317857938497,0.7123520545444088
3,vgg,19,0.9255952380952381,0.029728817586848623,0.8809523809523809,0.9642857142857144,0.7586507847596278,0.07366894861985607,10,0.8958664205083895,0.6849818361397717
4,efficientnet,B0,0.8672619047619048,0.02447000570368384,0.8273809523809524,0.9107142857142856,0.6868480645105502,0.04250630533199056,10,0.8427918990582209,0.6443417591785597
5,efficientnet,B1,0.8434523809523808,0.03615795844877961,0.7916666666666667,0.8988095238095237,0.675045343483232,0.05142290851395897,10,0.8072944225036013,0.623622434969273
6,efficientnet,B2,0.8351190476190476,0.024308592294907547,0.7976190476190477,0.8749999999999999,0.6549319650081171,0.04980937882456562,10,0.8108104553241401,0.6051225861835515
7,efficientnet,B3,0.8375,0.024146099883454373,0.8035714285714287,0.8749999999999999,0.6931179059876118,0.04878115695507836,10,0.8133539001165456,0.6443367490325335
8,efficientnet,B4,0.8357142857142857,0.03999874021699725,0.7559523809523808,0.875,0.656575955943387,0.052447115595692324,10,0.7957155454972885,0.6041288403476947
9,efficientnet,B5,0.7327380952380953,0.02668632353745224,0.7023809523809523,0.7797619047619048,0.6539115574396601,0.02606867448648385,10,0.706051771700643,0.6278428829531763
10,efficientnet,B6,0.7886904761904762,0.026656803259016686,0.7440476190476191,0.8273809523809524,0.6854988585113552,0.04164209162397147,10,0.7620336729314595,0.6438567668873837
11,efficientnet,B7,0.8142857142857143,0.04083639907043789,0.7380952380952381,0.8809523809523809,0.6919274297176647,0.03703286363521391,10,0.7734493152152764,0.6548945660824508
12,alexnet,nan,0.9255952380952381,0.028094845751004564,0.875,0.9583333333333334,0.7668027120677398,0.04502019910612123,10,0.8975003923442336,0.7217825129616185
13,googlenet,nan,0.8732142857142856,0.02314720330649181,0.8214285714285716,0.9107142857142856,0.728786839685663,0.03374426981608227,10,0.8500670824077938,0.6950425698695808
14,resnet,101,0.8607142857142858,0.03703467490577812,0.8095238095238094,0.9166666666666669,0.6746938694511992,0.07617074778112247,10,0.8236796108085076,0.5985231216700768
15,resnet,152,0.8482142857142858,0.030383715934749044,0.8095238095238096,0.8928571428571428,0.6319501056996606,0.04565700131481193,10,0.8178305697795367,0.5862931043848487
16,resnet,18,0.8958333333333333,0.029328860117250985,0.8333333333333331,0.9404761904761904,0.7359750481357752,0.04037402892642957,10,0.8665044732160823,0.6956010192093456
17,resnet,34,0.8773809523809524,0.030763567370340104,0.8214285714285715,0.9166666666666666,0.7025963636232424,0.04149702646344991,10,0.8466173850106122,0.6610993371597925
18,resnet,50,0.8970238095238094,0.032729075236480845,0.8392857142857141,0.9464285714285714,0.7442516919814046,0.04261430139030863,10,0.8642947342873286,0.701637390591096
