,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
1,0.7079796195030212,0.70716845377039,193,71,101,224,0.7721434336446443,0.7419836413840303,efficientnet,0,B0
2,0.706281840801239,0.7046335297944624,186,65,108,230,0.784180790960452,0.7719096321748731,efficientnet,0,B1
3,0.7147707939147949,0.7122618416236177,183,57,111,238,0.7681079211345557,0.7304448104521635,efficientnet,0,B2
4,0.6689304113388062,0.665688658042114,168,69,126,226,0.7606941081517352,0.7631379864116004,efficientnet,0,B3
5,0.6740237474441528,0.6721098484105898,176,74,118,221,0.744644298397325,0.7142157795518247,efficientnet,0,B4
6,0.6893039345741272,0.6822101685424875,159,48,135,247,0.7427649025711979,0.7112443571583629,efficientnet,0,B5
7,0.6960950493812561,0.6906703154834896,166,51,128,244,0.7712325608209385,0.754792219066455,efficientnet,0,B6
8,0.7147707939147949,0.7116783167075851,180,54,114,241,0.7866366885737346,0.7700234512898405,efficientnet,0,B7
24,0.7266553640365601,0.7249778810565503,191,58,103,237,0.788913870632999,0.7645479717110897,efficientnet,1,B0
25,0.7300509214401245,0.7298983293925289,208,73,86,222,0.8094258042199931,0.7878085828231158,efficientnet,1,B1
26,0.7028862237930298,0.6986296113577892,172,53,122,242,0.7796321918597948,0.7600962215706495,efficientnet,1,B2
27,0.7147707939147949,0.7144077530050613,200,74,94,221,0.7861005419116799,0.761646546837016,efficientnet,1,B3
28,0.7130730152130127,0.7117435611292156,190,65,104,230,0.7804047042545832,0.7349245054983117,efficientnet,1,B4
29,0.6994906663894653,0.6923065522483048,161,44,133,251,0.7887755102040817,0.7781920651645877,efficientnet,1,B5
30,0.6876060962677002,0.6824574513437716,165,55,129,240,0.762902109996541,0.7568009304559355,efficientnet,1,B6
31,0.7011884450912476,0.7001295886244154,189,71,105,224,0.7598351204888735,0.734712522776299,efficientnet,1,B7
47,0.7266553640365601,0.7265008241659671,221,88,73,207,0.8184941773319497,0.8064350079554992,efficientnet,2,B0
48,0.7538200616836548,0.7537944801787932,219,70,75,225,0.8256889196356508,0.8018543676941282,efficientnet,2,B1
49,0.7368420958518982,0.7359622815148936,200,61,94,234,0.8181943964026288,0.8012641713235501,efficientnet,2,B2
50,0.7538200616836548,0.7526793860559229,202,53,92,242,0.8177677850801337,0.7731206882504892,efficientnet,2,B3
51,0.7487266659736633,0.7486679686809523,216,70,78,225,0.8051423959414274,0.7661256144895827,efficientnet,2,B4
52,0.7130730152130127,0.7098581318342898,179,54,115,241,0.79844344517468,0.7697519440913175,efficientnet,2,B5
53,0.7164685726165771,0.7134955283620725,181,54,113,241,0.78428456128214,0.7516337482455704,efficientnet,2,B6
54,0.7402377128601074,0.7383521860786617,193,52,101,243,0.8223221491986625,0.7981802241697383,efficientnet,2,B7
70,0.7130730152130127,0.7116065972157282,189,63,106,231,0.8015219647180907,0.7862422882290152,efficientnet,3,B0
71,0.7317487001419067,0.7317293893760104,218,81,77,213,0.8019831661478151,0.7990899471031904,efficientnet,3,B1
72,0.685908317565918,0.6856763684249856,194,84,101,210,0.75993312579269,0.7368705739455371,efficientnet,3,B2
73,0.7079796195030212,0.7057736939005467,183,60,112,234,0.7959414274184249,0.7851870244117956,efficientnet,3,B3
74,0.6876060962677002,0.68712902798806,191,80,104,214,0.7617202813328721,0.7429979669321003,efficientnet,3,B4
75,0.7096773982048035,0.7068346687497791,180,56,115,238,0.7848380029978093,0.7663414856269171,efficientnet,3,B5
76,0.6910017132759094,0.68902155503729,180,67,115,227,0.7692493946731236,0.7501536221839484,efficientnet,3,B6
77,0.7215619683265686,0.7204588550233921,194,63,101,231,0.7832237979937737,0.7701698957933605,efficientnet,3,B7
93,0.7198641896247864,0.7163020107185344,179,49,116,245,0.8013028940389715,0.7839722044096593,efficientnet,4,B0
94,0.7538200616836548,0.7537178020978414,216,66,79,228,0.8321226795803067,0.8327661213034746,efficientnet,4,B1
95,0.7385398745536804,0.7376133894212481,200,59,95,235,0.8116107459933126,0.8022119625785632,efficientnet,4,B2
96,0.7028862237930298,0.6991081934873669,174,54,121,240,0.783558169030324,0.7750567056613373,efficientnet,4,B3
97,0.6893039345741272,0.6870486941360194,178,66,117,228,0.7807448403090049,0.7668022524438993,efficientnet,4,B4
98,0.7164685726165771,0.7126384347645858,177,49,118,245,0.8052461662631154,0.787400505651881,efficientnet,4,B5
99,0.7028862237930298,0.700899834543413,183,63,112,231,0.7876282716476422,0.7850109970630237,efficientnet,4,B6
100,0.7164685726165771,0.7144105565069996,186,58,109,236,0.80189092586187,0.8122604548577937,efficientnet,4,B7
