,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
15,0.7674023509025574,0.7673594543483946,222,65,72,230,0.8316614781505823,0.8140700528219893,swin,0,s
16,0.7623090147972107,0.7623028268164266,226,72,68,223,0.841312118067566,0.825066692051751,swin,0,t
38,0.7911714911460876,0.7911497996641556,236,65,58,230,0.858013374841462,0.8422103048564487,swin,1,s
39,0.7860780954360962,0.7860774768135594,232,64,62,231,0.8684480571889773,0.862064806186231,swin,1,t
61,0.7928692698478699,0.7927683135428868,227,55,67,240,0.8668050270955839,0.8546509852763834,swin,2,s
62,0.8132427930831909,0.8131776189652308,245,61,49,234,0.8937968407702064,0.8804866998630743,swin,2,t
84,0.7894737124443054,0.7894730723397902,232,61,63,233,0.8583592759137554,0.8318997026302922,swin,3,s
85,0.7521222233772278,0.7517436842121537,233,84,62,210,0.8494523233022023,0.8371034279562386,swin,3,t
107,0.7792869210243225,0.7789498552544383,241,76,54,218,0.8731350167185519,0.8751511144862025,swin,4,s
108,0.7572156190872192,0.7568764256159537,234,82,61,212,0.855770782889427,0.8540008624061667,swin,4,t
