,test_acc,test_f1_score,model,fold,submodel
15,0.9464285714285714,0.8230158631256616,vgg,0,11
16,0.9583333333333331,0.8357142756309526,vgg,0,13
17,0.9404761904761904,0.8111111012804233,vgg,0,16
18,0.9404761904761902,0.8301587201375663,vgg,0,19
34,0.9345238095238096,0.7489795832252996,vgg,1,11
35,0.9166666666666666,0.7045351391591622,vgg,1,13
36,0.9464285714285714,0.7648525988866752,vgg,1,16
37,0.9404761904761904,0.7807256145083686,vgg,1,19
53,0.9761904761904762,0.7931972696093295,vgg,2,11
54,0.8869047619047619,0.6331065681877335,vgg,2,13
55,0.9345238095238096,0.7442176783721252,vgg,2,16
56,0.9464285714285716,0.7614512382468959,vgg,2,19
72,0.9285714285714284,0.7079364997195767,vgg,3,11
73,0.9226190476190474,0.7172335521009612,vgg,3,13
74,0.9166666666666666,0.714058948905194,vgg,3,16
75,0.9404761904761904,0.7158730076296296,vgg,3,19
91,0.9583333333333334,0.8650793547156087,vgg,4,11
92,0.9702380952380952,0.8807256131512256,vgg,4,13
93,0.9642857142857144,0.8722222118167989,vgg,4,16
94,0.9642857142857144,0.8807256131115431,vgg,4,19
110,0.9404761904761904,0.7823129158681569,vgg,5,11
111,0.9166666666666666,0.7269841186759257,vgg,5,13
112,0.9047619047619048,0.6860544136668691,vgg,5,16
113,0.8809523809523809,0.618820854609559,vgg,5,19
129,0.9464285714285714,0.8222222124457673,vgg,6,11
130,0.9404761904761904,0.8283446614528128,vgg,6,13
131,0.9583333333333331,0.8238095141230162,vgg,6,16
132,0.8988095238095238,0.6910430754680247,vgg,6,19
148,0.8928571428571428,0.6753968170522487,vgg,7,11
149,0.9047619047619048,0.7547618961130953,vgg,7,13
150,0.9107142857142856,0.7698412608465609,vgg,7,16
151,0.8869047619047619,0.7626984040628306,vgg,7,19
167,0.9345238095238094,0.7793650701957674,vgg,8,11
168,0.9226190476190476,0.7886621219223896,vgg,8,13
169,0.9345238095238096,0.7769841179675926,vgg,8,16
170,0.9523809523809524,0.8039682443478837,vgg,8,19
186,0.9226190476190474,0.7269841188842593,vgg,9,11
187,0.898809523809524,0.6706349127645506,vgg,9,13
188,0.9226190476190474,0.7212018059071779,vgg,9,16
189,0.9047619047619048,0.7410430754739771,vgg,9,19
