,test_acc,test_f1_score,tn,fp,fn,tp,auc_roc,auc_pr,model,fold,submodel
21,0.7640067934989929,0.764004065112001,226,71,68,224,0.838498789346247,0.8242494385674135,vit,0,b_16
22,0.7674023509025574,0.7672306066628178,218,61,76,234,0.8274645451400899,0.7782350689171464,vit,0,b_32
44,0.7826825380325317,0.7824561353289725,221,55,73,240,0.8748472270264037,0.868463314908691,vit,1,b_16
45,0.7809846997261047,0.7809746133852216,232,67,62,228,0.850714862216073,0.8465471959295532,vit,1,b_32
67,0.804753839969635,0.8046434443946746,230,51,64,244,0.8712210307851955,0.8594257612775626,vit,2,b_16
68,0.8217317461967468,0.8217235215861408,240,51,54,244,0.8833390983512049,0.8796705568174787,vit,2,b_32
90,0.7860780954360962,0.7860034551823591,237,68,58,226,0.8628156347284677,0.8600602500138065,vit,3,b_16
91,0.7724957466125488,0.7724636126780509,224,63,71,231,0.8291709904300704,0.8021937678044778,vit,3,b_32
113,0.774193525314331,0.7741701089891481,225,63,70,231,0.8724778046811945,0.883316111821922,vit,4,b_16
114,0.7826825380325317,0.782541472236729,223,56,72,238,0.8668626772742996,0.8634848271746643,vit,4,b_32
