,test_acc,test_f1_score,submodel,tn,fp,fn,tp,model,fold
2,0.9702380895614624,0.9681516536466476,b_16,60,1,4,103,vit,0
3,0.9583333134651184,0.955412317155486,b_32,59,2,5,102,vit,0
6,0.9285714030265808,0.923809518693676,b_16,57,5,7,99,vit,1
7,0.9345238208770752,0.9303771187951062,b_32,58,5,6,99,vit,1
10,0.9523809552192688,0.9495192256497608,b_16,60,4,4,100,vit,2
11,0.9642857313156128,0.9621394179557704,b_32,61,3,3,101,vit,2
14,0.9285714030265808,0.9242788410377424,b_16,58,6,6,98,vit,3
15,0.9345238208770752,0.9299336441731624,b_32,57,4,7,100,vit,3
18,0.9523809552192688,0.9500891214447084,b_16,62,6,2,98,vit,4
19,0.9404761791229248,0.9365079313903756,b_32,58,4,6,100,vit,4
